Entity,Code,Year,Life,population,Continent,flag
Afghanistan,AFG,1970,37.409,11173654,Asia,afghanistan.png
Afghanistan,AFG,1971,37.93,11475450,Asia,afghanistan.png
Afghanistan,AFG,1972,38.461,11791222,Asia,afghanistan.png
Afghanistan,AFG,1973,39.003,12108963,Asia,afghanistan.png
Afghanistan,AFG,1974,39.558,12412960,Asia,afghanistan.png
Afghanistan,AFG,1975,40.128,12689164,Asia,afghanistan.png
Afghanistan,AFG,1976,40.715,12943093,Asia,afghanistan.png
Afghanistan,AFG,1977,41.32,13171294,Asia,afghanistan.png
Afghanistan,AFG,1978,41.944,13341199,Asia,afghanistan.png
Afghanistan,AFG,1979,42.585,13411060,Asia,afghanistan.png
Afghanistan,AFG,1980,43.244,13356500,Asia,afghanistan.png
Afghanistan,AFG,1981,43.923,13171679,Asia,afghanistan.png
Afghanistan,AFG,1982,44.617,12882518,Asia,afghanistan.png
Afghanistan,AFG,1983,45.324,12537732,Asia,afghanistan.png
Afghanistan,AFG,1984,46.04,12204306,Asia,afghanistan.png
Afghanistan,AFG,1985,46.761,11938204,Asia,afghanistan.png
Afghanistan,AFG,1986,47.486,11736177,Asia,afghanistan.png
Afghanistan,AFG,1987,48.211,11604538,Asia,afghanistan.png
Afghanistan,AFG,1988,48.93,11618008,Asia,afghanistan.png
Afghanistan,AFG,1989,49.64,11868873,Asia,afghanistan.png
Afghanistan,AFG,1990,50.331,12412311,Asia,afghanistan.png
Afghanistan,AFG,1991,50.999,13299016,Asia,afghanistan.png
Afghanistan,AFG,1992,51.641,14485543,Asia,afghanistan.png
Afghanistan,AFG,1993,52.256,15816601,Asia,afghanistan.png
Afghanistan,AFG,1994,52.842,17075728,Asia,afghanistan.png
Afghanistan,AFG,1995,53.398,18110662,Asia,afghanistan.png
Afghanistan,AFG,1996,53.924,18853444,Asia,afghanistan.png
Afghanistan,AFG,1997,54.424,19357126,Asia,afghanistan.png
Afghanistan,AFG,1998,54.906,19737770,Asia,afghanistan.png
Afghanistan,AFG,1999,55.376,20170847,Asia,afghanistan.png
Afghanistan,AFG,2000,55.841,20779957,Asia,afghanistan.png
Afghanistan,AFG,2001,56.308,21606992,Asia,afghanistan.png
Afghanistan,AFG,2002,56.784,22600774,Asia,afghanistan.png
Afghanistan,AFG,2003,57.271,23680871,Asia,afghanistan.png
Afghanistan,AFG,2004,57.772,24726689,Asia,afghanistan.png
Afghanistan,AFG,2005,58.29,25654274,Asia,afghanistan.png
Afghanistan,AFG,2006,58.826,26433058,Asia,afghanistan.png
Afghanistan,AFG,2007,59.375,27100542,Asia,afghanistan.png
Afghanistan,AFG,2008,59.93,27722281,Asia,afghanistan.png
Afghanistan,AFG,2009,60.484,28394806,Asia,afghanistan.png
Afghanistan,AFG,2010,61.028,29185511,Asia,afghanistan.png
Afghanistan,AFG,2011,61.553,30117411,Asia,afghanistan.png
Afghanistan,AFG,2012,62.054,31161378,Asia,afghanistan.png
Afghanistan,AFG,2013,62.525,32269592,Asia,afghanistan.png
Afghanistan,AFG,2014,62.966,33370803,Asia,afghanistan.png
Afghanistan,AFG,2015,63.377,34413603,Asia,afghanistan.png
Afghanistan,AFG,2016,63.763,35383028,Asia,afghanistan.png
Afghanistan,AFG,2017,64.13,36296111,Asia,afghanistan.png
Afghanistan,AFG,2018,64.486,37171922,Asia,afghanistan.png
Afghanistan,AFG,2019,64.833,38041757,Asia,afghanistan.png
Afghanistan,AFG,2020,65.173,38928341,Asia,afghanistan.png
Armenia,ARM,1970,70.144,2525067,Asia,armenia.png
Armenia,ARM,1971,70.412,2587716,Asia,armenia.png
Armenia,ARM,1972,70.605,2650484,Asia,armenia.png
Armenia,ARM,1973,70.723,2712780,Asia,armenia.png
Armenia,ARM,1974,70.775,2773750,Asia,armenia.png
Armenia,ARM,1975,70.783,2832752,Asia,armenia.png
Armenia,ARM,1976,70.783,2889583,Asia,armenia.png
Armenia,ARM,1977,70.798,2944375,Asia,armenia.png
Armenia,ARM,1978,70.838,2997419,Asia,armenia.png
Armenia,ARM,1979,70.897,3049107,Asia,armenia.png
Armenia,ARM,1980,70.937,3099759,Asia,armenia.png
Armenia,ARM,1981,70.91,3148096,Asia,armenia.png
Armenia,ARM,1982,70.776,3193696,Asia,armenia.png
Armenia,ARM,1983,70.519,3238592,Asia,armenia.png
Armenia,ARM,1984,70.15,3285593,Asia,armenia.png
Armenia,ARM,1985,69.698,3335935,Asia,armenia.png
Armenia,ARM,1986,69.205,3392264,Asia,armenia.png
Armenia,ARM,1987,68.732,3451947,Asia,armenia.png
Armenia,ARM,1988,68.332,3504667,Asia,armenia.png
Armenia,ARM,1989,68.038,3536473,Asia,armenia.png
Armenia,ARM,1990,67.879,3538164,Asia,armenia.png
Armenia,ARM,1991,67.87,3505249,Asia,armenia.png
Armenia,ARM,1992,67.99,3442820,Asia,armenia.png
Armenia,ARM,1993,68.218,3363111,Asia,armenia.png
Armenia,ARM,1994,68.538,3283664,Asia,armenia.png
Armenia,ARM,1995,68.938,3217349,Asia,armenia.png
Armenia,ARM,1996,69.404,3168213,Asia,armenia.png
Armenia,ARM,1997,69.912,3133081,Asia,armenia.png
Armenia,ARM,1998,70.434,3108691,Asia,armenia.png
Armenia,ARM,1999,70.944,3089020,Asia,armenia.png
Armenia,ARM,2000,71.409,3069597,Asia,armenia.png
Armenia,ARM,2001,71.8,3050686,Asia,armenia.png
Armenia,ARM,2002,72.112,3033976,Asia,armenia.png
Armenia,ARM,2003,72.348,3017938,Asia,armenia.png
Armenia,ARM,2004,72.513,3000715,Asia,armenia.png
Armenia,ARM,2005,72.626,2981262,Asia,armenia.png
Armenia,ARM,2006,72.716,2958301,Asia,armenia.png
Armenia,ARM,2007,72.815,2932615,Asia,armenia.png
Armenia,ARM,2008,72.946,2907615,Asia,armenia.png
Armenia,ARM,2009,73.118,2888094,Asia,armenia.png
Armenia,ARM,2010,73.331,2877314,Asia,armenia.png
Armenia,ARM,2011,73.572,2876536,Asia,armenia.png
Armenia,ARM,2012,73.82,2884239,Asia,armenia.png
Armenia,ARM,2013,74.056,2897593,Asia,armenia.png
Armenia,ARM,2014,74.273,2912403,Asia,armenia.png
Armenia,ARM,2015,74.467,2925559,Asia,armenia.png
Armenia,ARM,2016,74.64,2936147,Asia,armenia.png
Armenia,ARM,2017,74.797,2944789,Asia,armenia.png
Armenia,ARM,2018,74.945,2951741,Asia,armenia.png
Armenia,ARM,2019,75.087,2957728,Asia,armenia.png
Armenia,ARM,2020,75.224,2963234,Asia,armenia.png
Azerbaijan,AZE,1970,63.141,5180032,Asia,azerbaijan.png
Azerbaijan,AZE,1971,63.31,5284518,Asia,azerbaijan.png
Azerbaijan,AZE,1972,63.457,5385266,Asia,azerbaijan.png
Azerbaijan,AZE,1973,63.582,5483088,Asia,azerbaijan.png
Azerbaijan,AZE,1974,63.687,5579071,Asia,azerbaijan.png
Azerbaijan,AZE,1975,63.776,5674129,Asia,azerbaijan.png
Azerbaijan,AZE,1976,63.852,5768730,Asia,azerbaijan.png
Azerbaijan,AZE,1977,63.921,5863138,Asia,azerbaijan.png
Azerbaijan,AZE,1978,63.992,5957927,Asia,azerbaijan.png
Azerbaijan,AZE,1979,64.069,6053635,Asia,azerbaijan.png
Azerbaijan,AZE,1980,64.161,6150735,Asia,azerbaijan.png
Azerbaijan,AZE,1981,64.28,6249312,Asia,azerbaijan.png
Azerbaijan,AZE,1982,64.425,6349555,Asia,azerbaijan.png
Azerbaijan,AZE,1983,64.587,6452067,Asia,azerbaijan.png
Azerbaijan,AZE,1984,64.759,6557581,Asia,azerbaijan.png
Azerbaijan,AZE,1985,64.913,6666447,Asia,azerbaijan.png
Azerbaijan,AZE,1986,65.016,6778631,Asia,azerbaijan.png
Azerbaijan,AZE,1987,65.053,6893486,Asia,azerbaijan.png
Azerbaijan,AZE,1988,65.021,7010027,Asia,azerbaijan.png
Azerbaijan,AZE,1989,64.935,7126877,Asia,azerbaijan.png
Azerbaijan,AZE,1990,64.827,7242758,Asia,azerbaijan.png
Azerbaijan,AZE,1991,64.745,7357945,Asia,azerbaijan.png
Azerbaijan,AZE,1992,64.731,7471924,Asia,azerbaijan.png
Azerbaijan,AZE,1993,64.81,7581754,Asia,azerbaijan.png
Azerbaijan,AZE,1994,64.991,7683704,Asia,azerbaijan.png
Azerbaijan,AZE,1995,65.256,7775418,Asia,azerbaijan.png
Azerbaijan,AZE,1996,65.573,7855558,Asia,azerbaijan.png
Azerbaijan,AZE,1997,65.899,7925668,Asia,azerbaijan.png
Azerbaijan,AZE,1998,66.207,7989903,Asia,azerbaijan.png
Azerbaijan,AZE,1999,66.491,8054126,Asia,azerbaijan.png
Azerbaijan,AZE,2000,66.763,8122743,Asia,azerbaijan.png
Azerbaijan,AZE,2001,67.054,8197295,Asia,azerbaijan.png
Azerbaijan,AZE,2002,67.391,8277065,Asia,azerbaijan.png
Azerbaijan,AZE,2003,67.791,8361433,Asia,azerbaijan.png
Azerbaijan,AZE,2004,68.249,8448938,Asia,azerbaijan.png
Azerbaijan,AZE,2005,68.747,8538610,Asia,azerbaijan.png
Azerbaijan,AZE,2006,69.259,8630153,Asia,azerbaijan.png
Azerbaijan,AZE,2007,69.752,8724237,Asia,azerbaijan.png
Azerbaijan,AZE,2008,70.201,8821869,Asia,azerbaijan.png
Azerbaijan,AZE,2009,70.597,8924383,Asia,azerbaijan.png
Azerbaijan,AZE,2010,70.938,9032465,Asia,azerbaijan.png
Azerbaijan,AZE,2011,71.234,9146277,Asia,azerbaijan.png
Azerbaijan,AZE,2012,71.506,9264684,Asia,azerbaijan.png
Azerbaijan,AZE,2013,71.768,9385467,Asia,azerbaijan.png
Azerbaijan,AZE,2014,72.022,9505616,Asia,azerbaijan.png
Azerbaijan,AZE,2015,72.266,9622741,Asia,azerbaijan.png
Azerbaijan,AZE,2016,72.493,9736041,Asia,azerbaijan.png
Azerbaijan,AZE,2017,72.693,9845316,Asia,azerbaijan.png
Azerbaijan,AZE,2018,72.864,9949537,Asia,azerbaijan.png
Azerbaijan,AZE,2019,73.005,10047719,Asia,azerbaijan.png
Azerbaijan,AZE,2020,73.123,10139175,Asia,azerbaijan.png
Bangladesh,BGD,1970,46.942,64232486,Asia,bangladesh.png
Bangladesh,BGD,1971,46.589,65531635,Asia,bangladesh.png
Bangladesh,BGD,1972,46.507,66625706,Asia,bangladesh.png
